DY
143
7
damageDealt;damageDealtChampions;damageTaken;kills;deaths;assists;totalCC
Aatrox;135754.57420924574;15744.639902676397;29297.340632603406;5.6763990267640025;5.177615571776169;5.625304136253056;16.873479318734802;1
Ahri;110877.40254237298;16116.749999999995;16783.22881355933;4.927966101694922;4.838983050847462;6.699152542372888;20.343220338983055;2
Akali;107881.6030150753;16236.70351758793;20772.683417085434;6.195979899497489;4.944723618090452;4.909547738693466;6.040201005025129;3
Alistar;28179.947761194016;6454.992537313434;19501.955223880595;1.7313432835820886;5.186567164179103;12.671641791044777;35.917910447761166;4
Amumu;124143.97916666669;12003.062500000002;25300.08333333332;3.979166666666666;5.562500000000001;8.958333333333334;31.416666666666668;4
Anivia;125988.92307692308;15348.346153846154;22057.576923076922;4.153846153846155;5.0;7.923076923076924;34.23076923076923;2
Annie;62920.47826086956;13713.739130434782;12625.782608695654;3.9565217391304346;5.0;7.086956521739129;19.956521739130434;2
Ashe;112598.5882352941;14299.647058823532;14143.588235294119;5.058823529411764;4.5;7.764705882352942;33.382352941176464;5
Aurelion Sol;114845.8125;16107.6875;18725.3125;5.375;4.8125;7.375;20.9375;2
Azir;128680.00000000003;15672.111111111113;15172.999999999998;4.666666666666666;4.666666666666667;5.074074074074072;9.296296296296298;2
Bard;24595.71311475409;10139.254098360652;14749.499999999996;3.008196721311474;4.631147540983606;12.270491803278686;26.327868852459027;6
Blitzcrank;22592.766666666666;7748.633333333333;17289.233333333334;2.433333333333334;5.800000000000002;11.466666666666667;30.53333333333334;4
Brand;62397.13636363637;19338.954545454548;16106.5;3.499999999999999;6.59090909090909;7.59090909090909;16.954545454545457;2
Braum;26689.32231404958;5837.512396694215;16939.380165289258;1.5206611570247919;5.198347107438019;12.710743801652896;27.479338842975224;6
Caitlyn;133943.859375;16227.9765625;14384.4296875;4.9140625;5.0546875;6.15625;14.2265625;5
Camille;116390.36764705877;15884.735294117645;22938.667647058814;6.10588235294116;5.352941176470574;5.397058823529397;18.785294117647076;1
Cassiopeia;114780.36585365853;15837.80487804878;18289.780487804877;5.243902439024392;4.9024390243902465;5.292682926829271;23.024390243902445;2
Cho'Gath;135884.12500000003;16923.583333333332;30709.624999999996;5.833333333333336;7.291666666666667;6.583333333333333;71.29166666666667;4
Corki;139772.66666666666;19180.977272727276;18473.068181818184;5.818181818181825;4.825757575757578;6.1363636363636385;2.3636363636363638;5
Darius;117900.89655172404;14664.005747126424;24647.666666666682;5.747126436781609;5.660919540229887;3.7471264367816097;17.477011494252885;1
Diana;179755.1176470588;18558.352941176472;19183.41176470588;6.294117647058823;6.470588235294117;6.470588235294118;7.1764705882352935;1
Draven;132930.71291866028;16895.598086124402;15293.172248803825;5.784688995215313;5.138755980861239;6.521531100478471;9.368421052631572;5
Dr. Mundo;114536.75;15934.916666666668;32391.250000000004;2.9166666666666665;5.333333333333333;6.583333333333332;12.25;1
Ekko;137854.53488372092;16863.930232558145;26822.093023255813;6.697674418604655;5.581395348837211;6.255813953488373;14.255813953488373;3
Elise;119717.6976744186;14417.758139534888;20667.944186046527;6.232558139534889;5.139534883720929;7.427906976744189;21.24186046511627;2
Evelynn;130183.25862068964;18082.775862068967;21998.54310344827;8.49137931034483;5.310344827586211;7.086206896551726;10.051724137931034;3
Ezreal;129359.27202472962;21608.79907264295;15397.582689335399;5.924265842349304;5.465224111282849;7.1298299845440445;7.09273570324575;5
Fiddlesticks;53016.967391304344;12272.586956521738;17063.663043478264;3.4782608695652177;6.717391304347824;11.391304347826086;80.83695652173908;2
Fiora;134975.05691056914;16584.105691056902;25556.11382113821;5.3902439024390265;5.0000000000000036;4.284552845528457;9.203252032520325;1
Fizz;87345.2549019608;13632.666666666664;17946.705882352948;6.098039215686274;5.254901960784314;4.45098039215686;8.647058823529411;3
Galio;39989.203125;7981.875;18541.1875;2.25;5.6875;12.203125;33.265625;4
Gangplank;176704.28571428574;18793.220779220785;21734.83766233766;4.311688311688311;4.733766233766236;7.019480519480519;10.831168831168826;1
Garen;102832.88235294117;13824.058823529414;27508.441176470587;5.088235294117646;4.529411764705884;4.176470588235293;32.20588235294118;1
Gnar;109455.24999999999;13596.729166666664;22045.020833333336;3.291666666666667;4.875000000000003;5.666666666666667;25.937499999999993;1
Gragas;126364.24615384618;14934.192307692305;24078.90000000001;5.230769230769224;4.953846153846147;8.338461538461528;25.246153846153838;1
Graves;157221.5275590551;17385.574803149608;20773.77165354331;6.456692913385819;5.3228346456692845;7.409448818897629;15.937007874015729;5
Hecarim;147105.32870370368;14914.337962962965;30997.19907407407;7.222222222222224;5.4166666666666705;7.1481481481481515;16.759259259259256;1
Heimerdinger;118736.41999999995;20270.4;13006.459999999997;3.9000000000000017;4.220000000000001;7.2799999999999985;16.339999999999996;2
Illaoi;113560.5;17128.625;22300.375;3.75;5.125;2.75;2.5;1
Irelia;139831.7953321364;14897.499102333932;24238.253141831217;6.2567324955116765;5.793536804308797;4.926391382405756;14.684021543985645;1
Ivern;344007.81818181823;7179.772727272728;11861.545454545454;2.0909090909090904;3.772727272727272;13.545454545454549;34.500000000000014;6
Janna;20324.44398340249;6594.481327800833;10744.037344398337;1.7053941908713666;4.1701244813277905;12.103734439833996;29.319502074688724;6
Jarvan IV;122564.18181818182;11852.411764705885;25298.491978609632;5.235294117647059;5.053475935828879;11.93048128342246;16.989304812834227;4
Jax;121291.8734939759;14538.632530120483;21474.59036144578;5.1807228915662655;5.3614457831325275;3.6807228915662633;14.31927710843374;1
